facility_id,common_name,address,city,zip_code,block_lot,owned_leased,dept_id,department_name,gross_sq_ft,longitude,latitude,geom,supervisor_district,city_tenants
513,Conservatory Bathroom,100 John F Kennedy Dr,San Francisco,94117,1263011,Own,49,Recreation And Parks,690,-122.4810267,37.76906878,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.76906878199998', 'longitude': '-122.48102672099998'}",1,
,,,,,,,,,,,,,,
3097,Pier 9 Bulkhead/Shed Building,Pier 9,San Francisco,94111,9900501,Own,46,Port,,-122.3964441,37.80089177,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.800891767999985', 'longitude': '-122.39644410300002'}",3,
,,,,,,,,,,,,,,
1629,St Mary's BF Maintenance Shed,95 Justin Dr,San Francisco,94110,5801002,Own,49,Recreation And Parks,1200,-122.420658,37.7336698,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.733669797999994', 'longitude': '-122.42065802600001'}",9,
,,,,,,,,,,,,,,
648,Eureka Valley Branch Library/ Harvey Milk Memorial Branch Library,1 Jose Sarria Ct,San Francisco,94114,3564095,Own,48,Public Library,6465,-122.4318817,37.76406037,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.76406036999998', 'longitude': '-122.43188171700001'}",8,
,,,,,,,,,,,,,,
3129,ZOO - CAPYBARA SHELTER*,1 Zoo Rd,San Francisco,94132,7281009,Own,49,Recreation And Parks,,-122.5015432,37.73156711,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.73156711399997', 'longitude': '-122.50154321100001'}",7,
,,,,,,,,,,,,,,
3127,ZOO - AVIARY*,1 Zoo Rd,San Francisco,94132,7281009,Own,49,Recreation And Parks,,-122.5032225,37.73255941,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.732559407', 'longitude': '-122.50322252299998'}",7,
,,,,,,,,,,,,,,
